1,Jiro,,Akagawa
2,Horatio,,Alger
3,Jeffrey,,Archer
4,David,,Baldacci
5,Stan,,Berenstain
6,Jan,,Berenstain
7,Enid,,Blyton
8,Norman,,Bridwell
9,Dan,,Brown
10,Edgar,Rice,Burroughs
11,Erskine,,Caldwell
12,Lewis,,Carroll
13,Barbara,,Cartland
14,Agatha,,Christie
15,Tom,,Clancy
16,Mary,Higgins,Clark
17,Paulo,,Coelho
18,Jackie,,Collins
19,Robin,,Cook
20,Catherine,,Cookson
21,Patricia,,Cornwell
22,John,,Creasey
23,Michael,,Crichton
24,Clive,,Cussler
25,Roald,,Dahl
26,Janet,,Dailey
27,Frederic,,Dard
28,Gerard,,de Villiers
29,Ian,,Fleming
30,Ken,,Follett
31,Erle,Stanley ,Gardner
32,Anne,,Golon
33,Zane,,Grey
34,John,,Grisham
35,Arthur,,Hailey
36,Roger,,Hargreaves
37,Hermann,,Hesse
38,Eleanor,,Hibbert
39,Evan,,Hunter
40,E.,L.,James
41,Penny,,Jordan
42,Stephen,,King
43,Dean,,Koontz
44,Judith,,Krantz
45,Louis,,L'Amour
46,Clive,Staples,Lewis
47,Astrid,,Lindgren
48,Robert,,Ludlum
49,Alistair,,MacLean
50,Debbie,,Macomber
51,Ann,Matthews,Martin
52,Karl,,May
53,Stephenie,,Meyer
54,James,,Michener
55,Seiichi,,Morimura
56,Andrew,,Neiderman
57,Kyotaro,,Nishimura
58,Gilbert,,Patten
59,James,,Patterson
60,Beatrix,,Potter
61,Alexander,,Pushkin
62,Anne,,Rice
63,Harold,,Robbins
64,Nora,,Roberts
65,Denise,,Robins
66,Joanne,K. ,Rowling
67,Richard,,Scarry
68,William,,Shakespeare
69,Sidney,,Sheldon
70,Ryotaro,,Shiba
71,Georges,,Simenon
72,Frank,G.,Slaughter
73,Wilbur,,Smith
74,Mickey,,Spillane
75,Danielle,,Steel
76,Robert,Lawrence,Stine
77,Rex,,Stout
78,Corin,,Tellado
79,John,Ronald Reuel,Tolkien
80,Leo,,Tolstoy
81,Yasuo,,Uchida
82,Edgar,,Wallace
83,Irving,,Wallace
84,Cao,,Xueqin
85,Jin,,Yong
86,Eiji,,Yoshikawa
