1,pharetra magna ac consequat,5,1971-10-26,88,39,2,4708883145,806.79,15.94,6,2013-11-16 18:20:42
2,potenti,,1957-02-23,554,137,3,2870215428,863.35,3.09,30,2012-03-25 19:48:01
3,cras,8,1923-10-07,276,39,3,8586911836,239.18,147.29,4,2015-11-22 16:48:44
4,scelerisque,,1904-02-04,481,39,2,2088516654,364.13,2.97,40,2016-12-21 10:16:11
5,diam in magna,,1922-04-02,512,137,2,9894839002,400.28,208.63,10,2014-05-15 06:16:01
6,in hac habitasse,,1980-06-10,163,39,2,6577643407,816.22,64.35,41,2013-07-20 09:12:10
7,erat id mauris vulputate elementum,6,1930-02-07,299,49,2,9603983896,366.88,151.17,0,2016-07-04 03:57:40
8,nibh fusce lacus purus aliquet,,2011-08-14,560,39,1,550091166X,998.89,47.27,18,2016-09-21 22:13:06
9,mauris viverra diam,,1930-07-18,405,39,1,8432131539,236.59,81.77,2,2012-04-17 14:21:46
10,massa donec dapibus,7,1944-04-09,212,39,4,1544229410,244.38,170.57,39,2014-02-16 09:51:58
11,rhoncus sed vestibulum,,1948-05-28,309,39,3,1618700685,660.74,100.8,37,2014-10-17 23:35:21
12,ornare imperdiet sapien,4,1995-09-20,135,39,2,5089474311,603.56,298.14,4,2012-04-11 22:04:35
13,fringilla,4,1905-01-30,150,137,1,9741327900,880.94,213.98,20,2015-02-23 06:22:26
14,cubilia curae mauris viverra,9,1962-01-21,55,39,1,1206665432,821.23,217.92,2,2013-03-19 18:58:04
15,sit,,1910-03-28,9,39,2,1406821551,136.13,15.56,39,2016-05-25 01:00:58
16,morbi vestibulum velit,,2005-08-29,158,49,4,6677763269,131.73,94.18,31,2016-09-28 03:54:39
17,lorem vitae mattis nibh,,1998-12-20,3,39,2,6410361548,445.49,257.82,35,2014-08-08 00:46:22
18,orci eget,,2007-07-23,409,39,3,6993181207,698.71,276.94,22,2013-03-22 23:42:10
19,at,,1963-02-28,388,137,1,8736547379,42.72,162.34,0,2014-03-29 13:22:00
20,vestibulum velit id pretium,,1969-05-21,423,39,1,3506765930,490.59,283.67,7,2016-10-02 04:20:25
21,nec molestie sed justo,,2011-11-12,204,39,4,7794779715,125.67,147.79,8,2016-03-31 06:37:14
22,mauris enim leo rhoncus sed,4,1980-09-05,356,137,1,213230534,934.09,189.24,49,2012-08-02 01:19:05
23,mollis molestie lorem,7,2009-01-18,250,39,4,3207028640,297.43,211.45,21,2015-02-14 01:53:32
24,odio,,1929-03-29,505,39,2,4375936932,160.41,225.31,0,2016-02-02 15:09:44
25,justo lacinia eget tincidunt eget,9,1995-09-10,444,137,4,6099239936,400.78,279.43,44,2014-04-08 10:27:00
26,amet diam,,1984-10-29,155,49,4,2451328010,639.7,295.67,21,2013-03-14 02:59:47
27,ultricies,,1966-05-29,291,34,3,940133830,264.21,199.08,49,2013-03-14 21:58:10
28,tortor id nulla ultrices aliquet,,2012-05-18,192,39,1,585602124X,737.35,287.45,46,2016-12-03 01:00:13
29,cum sociis natoque penatibus et,,1949-01-24,612,137,3,037461914X,42.48,28.17,27,2015-02-08 17:46:17
30,vestibulum eget vulputate,4,1958-07-07,401,39,2,9284672600,851.67,145.23,33,2016-01-13 01:11:50
31,lorem,,1935-12-24,533,184,2,9123761474,606.18,264.61,26,2012-07-09 18:16:49
32,blandit lacinia erat vestibulum sed,,1992-06-16,104,39,4,8994298169,959.15,209.98,19,2015-11-11 12:02:44
33,auctor,,1992-08-11,49,34,4,6111502905,180.73,82.32,32,2015-02-19 20:36:26
34,varius ut blandit non,,2001-11-10,27,39,3,8154975785,909.1,87.58,15,2013-09-30 10:23:12
35,orci,1,1986-07-03,23,184,3,1900028298,21.85,52.49,38,2013-05-20 20:28:20
36,nisl ut volutpat sapien,,1985-08-06,338,39,2,6906102524,42.19,171.67,19,2016-08-22 00:00:20
37,nisl nunc,5,2002-10-14,47,49,4,6920020246,27.34,234.95,47,2014-01-29 13:32:05
38,potenti nullam,1,1905-01-13,208,39,3,7362866852,753.42,268.85,17,2017-03-01 00:38:54
39,blandit,,1953-01-22,402,39,4,5804929909,199.16,217.2,26,2012-05-16 21:56:25
40,lectus suspendisse potenti,2,2001-08-26,519,39,4,249981467,136.2,235.49,26,2013-04-21 03:19:18
41,neque libero convallis eget,,1924-12-22,292,137,3,1461461324,451.6,221.77,6,2015-01-09 06:37:13
42,in eleifend quam a,,1951-11-28,571,39,1,2602050466,434.94,101.24,44,2012-12-17 10:50:58
43,consequat nulla nisl,,1940-10-15,253,39,1,6871729097,335.44,226.11,24,2016-04-18 05:21:09
44,varius,,1995-07-27,572,39,3,378580752,391.6,246.18,42,2017-03-28 03:42:30
45,pede venenatis non sodales sed,2,1917-05-24,343,41,2,3683443790,903.08,16.04,25,2014-04-11 15:46:58
46,lorem id ligula suspendisse,3,1916-09-04,527,39,2,7128175563,257.23,266.36,12,2015-06-02 12:45:19
47,est congue elementum in,,1974-09-10,59,39,2,6288368229,5.91,155.22,20,2013-10-20 14:05:15
48,justo maecenas,,1949-07-07,45,39,3,9336532707,8.52,211.91,37,2013-11-27 22:09:29
49,aenean lectus,,1989-12-27,278,39,2,5437599552,22.05,80.92,49,2014-09-15 12:11:39
50,in felis eu,,1927-12-03,230,34,2,4913857339,601.21,94.08,25,2014-11-24 18:31:42
51,magnis dis,,1938-02-04,27,74,1,5296439570,98.52,101.86,2,2014-06-04 10:26:45
52,nec nisi vulputate,4,1944-05-17,416,39,4,323336489X,389.57,207.71,41,2013-04-13 18:37:50
53,vel augue vestibulum,2,1957-10-25,183,39,2,7882062774,641.05,107.27,8,2013-08-14 20:27:41
54,donec semper sapien,,2011-05-18,95,39,2,9973150503,652.9,8.85,0,2013-05-23 06:07:47
55,mus etiam,,1945-11-10,20,39,2,16101111,958.18,109.72,18,2015-09-28 14:20:48
56,justo in blandit,,1956-01-16,333,39,4,5365330129,96.89,194.93,17,2015-04-20 17:47:49
57,magna bibendum imperdiet nullam,,1991-05-03,134,39,3,5669261585,234.86,41.19,38,2015-10-25 02:30:51
58,proin interdum mauris,8,1946-09-26,554,39,3,2362456501,559.72,33.09,41,2014-03-15 05:38:22
59,donec ut,,2006-10-13,386,74,3,6715968497,186.96,279.65,25,2012-08-14 02:20:56
60,at feugiat,,1987-08-10,506,39,4,4691978100,960.92,246.12,9,2013-03-23 14:07:18
61,sit amet turpis elementum ligula,3,1933-07-17,190,39,2,9318517912,902.83,119.99,29,2012-03-04 10:40:36
62,urna ut tellus,,1986-03-17,337,39,4,7146777235,155.33,27.51,23,2015-11-22 19:33:45
63,nisi venenatis tristique,,1969-09-10,35,39,3,3840958199,321.33,269.69,5,2017-03-30 19:38:19
64,erat volutpat in congue etiam,,1905-05-13,199,39,4,4495166034,649.7,172.95,44,2015-10-26 05:51:23
65,metus vitae ipsum aliquam non,,1949-07-30,465,34,2,8376689037,962.2,285.58,25,2016-09-17 20:17:48
66,dis parturient,4,1951-06-12,549,34,2,780467127X,137.96,35.65,28,2016-09-10 04:06:13
67,mi sit amet lobortis sapien,,2012-10-13,171,39,4,6488475479,912.48,233.9,14,2017-02-19 13:51:33
68,metus,,1908-06-15,484,39,1,2265642851,308.47,292.8,35,2012-03-25 04:10:31
69,praesent lectus vestibulum quam,6,1973-06-13,365,39,1,6771275957,16.45,270.83,47,2016-03-25 06:50:26
70,ligula pellentesque ultrices phasellus id,4,2009-11-05,460,39,3,4423361507,892.11,180.9,13,2012-08-07 08:16:07
71,euismod scelerisque quam turpis,,1947-02-05,532,41,3,113933517,674.73,14.06,0,2014-04-28 21:35:20
72,vulputate justo in blandit,3,1987-09-06,229,39,1,2347548506,493.36,57,0,2016-10-05 17:26:17
73,ultrices libero,5,1959-12-02,439,39,4,9456332926,559.02,210.85,26,2016-06-28 05:56:47
74,in,,1905-08-06,225,39,1,6469954448,363.18,124.66,5,2017-03-16 05:18:07
75,rhoncus aliquet pulvinar sed nisl,,2016-02-04,71,39,2,3561993753,771.4,83.82,6,2016-12-07 07:14:56
76,a suscipit nulla elit,7,2010-01-11,367,39,4,1124328661,163.08,187.26,17,2014-01-11 04:08:11
77,ut suscipit,,1909-04-01,546,39,3,802293495X,165.98,170.22,41,2012-05-06 15:19:08
78,quis turpis eget elit,,1979-07-20,427,39,2,4630940162,391.7,13.33,0,2012-09-16 17:14:37
79,pede,8,1900-07-02,472,39,3,8144204166,266.18,274.26,32,2016-03-15 13:03:54
80,habitasse platea dictumst etiam,,2014-01-06,376,39,4,4089087279,596.72,68.15,37,2013-05-10 21:57:08
81,metus aenean fermentum donec,,1998-07-22,273,39,1,5202282524,9.55,77.44,28,2015-02-02 04:15:36
