1,1517 Media
2,365 Promotions
3,5 Spot
4,95 Percent Group Inc.
5,A Pass Educational Group, LLC
6,A+ Media
7,ABC Daytime Press
8,Academic Business Advisors
9,Academic Innovations
10,Academic Learning Company
11,Access Innovations
12,Ace Books
13,ACP Press
14,Acumen Partners LLC
15,Addison Wesley
16,Advanced Learning Centers, Inc.
17,Age of Learning, Inc.
18,Agile Education Marketing
19,Aladdin
20,Alan Wofsy Fine Arts
21,Albert Whitman & Company
22,Albert Whitman Teen
23,Alexander Street
24,Algonquin Books of Chapel Hill
25,Algora Publishing
26,Alliance of Crop, Soil, and Environmental Science (ACSESS)
27,Allyn & Bacon
28,Alpha Books
29,AMACOM
30,American Anthropological Association
31,American Association for Cancer Research
32,American Association for the Advancement of Science
33,American Astronomical Society
34,American Chemical Society
35,American College of Physicians (ACP)
36,American Council of Learned Societies
37,American Dental Association Publishing
38,American Diabetes Association
39,American Foundation for the Blind
40,American Institute of Aeronautics and Astronautics
41,American Institute of Physics
42,American Mathematical Society
43,American Medical Association
44,American Museum of Natural History
45,American Physical Society (APS)
46,American Physiological Society
47,American Psychiatric Publishing, Inc
48,American Psychological Association
49,American Public Health Association
50,American School for Classical Studies at Athens
51,American Society for Indexing (ASI)
52,American Society of Civil Engineers (ASCE)
53,American Society of Clinical Oncology
54,American Society of Health-System Pharmacists (ASHP)
55,American Society of Mechanical Engineers (ASME)
56,American Thoracic Society (ATS)
57,American University in Cairo Press
58,Amnet
59,Amy Einhorn Books/Putnam
60,Ancestry
61,Ann Watson Consulting
62,Annals of Internal Medicine
63,Applesauce Press
64,Applied Educational Systems
65,Aquila Polonica (U.S.) LTD
66,Artisan Books
67,ASIS International
68,Association for Computing Machinery
69,Association for Supervision and Curriculum Development (ASCD)
70,Atheneum Books for Young Readers
71,Atlantic Monthly Press
72,Atria Books
73,Avery
74,Back Bay
75,Baen Books
76,Baker & Taylor
77,Balzer + Bray
78,Bar Charts, Inc.
79,Barnhardt & Ashe Publishing
80,Baylor University Press
81,BBC Active
82,BBC Worldwide Learning
83,Beach Lane Books
84,Beacon Press
85,becker&mayer
86,Bedford/St. Martin's
87,Benchmark Education Co.
88,Benetech/Bookshare
89,Benjamin Cummings
90,Berghahn Books
91,Berkery Noyes & Company
92,Berkley Books
93,Bert Davis Executive Search, Inc.
94,Big Hat Press
95,BIOZONE International
96,BkMk Press, University of Missouri-Kansas City
97,Black Cat
98,Blooming Twig Books
99,Bloomsbury USA
100,BLPS Content Connections
101,Blue Dome
102,Blue Rider Press
103,Bluesheet
104,BMJ
105,Bonnier Publishing USA
106,Bookmasters
107,Books International, Inc.
108,Boston Review Books
109,Bowker
110,British American Publishing
111,Brookings Institution Press
112,Bulfinch
113,Burn House Publishing
114,Business Plus
115,C. Blohm & Associates, Inc.
116,Cambium Learning
117,Cambridge University Press
118,Capstone
119,Capstone Digital
120,cas
121,Caslon, Inc.
122,CAST, Inc.
123,Catapult
124,Cato Institute
125,Caxton Press
126,CDN Publishing, LLC
127,Cengage Learning
128,Center for Applied Special Technology (CAST)
129,Center Street
130,Cenveo Publisher Services
131,Charmtech Labs
132,CHOR, Inc.
133,CHORUS
134,Christians for Biblical Equality
135,Chronicle Books
136,Cider Mill Press Book Publishers
137,Cisco Press
138,Citadel Books
139,City Lights Booksellers & Publishers
140,Clarity Innovations
141,Clarke & Company
142,Clarkson Potter
143,Columbia University Press
144,Common Ground Publishing
145,Consulting Services for Education (CS4Ed)
146,Council on Foreign Relations Press
147,Countryman Press
148,CQ Press
149,Creative Strategies
150,Cricket Media
151,CrossRef
152,Crossway
153,Crown Trade Group
154,CTB/McGraw-Hill
155,Cumberland House
156,Current
157,CustomLab
158,Dafina Books
159,Dalkey Archive Press
160,Data Harmony
161,Davies Publishing Inc.
162,Davis Plus
163,Davis Publications Inc.
164,DAW Books
165,Delmar Cengage Learning
166,Delta Think, LLC
167,Dey Street Books
168,Dial Books for Young Readers
169,Dibble Institute
170,Digimarc
171,Digital Library
172,Digital Science
173,Discovery Education- Corporate Partnership Division
174,Disney Editions
175,Disney Jump at the Sun
176,Disney Press
177,Disney Publishing Worldwide
178,Disruption Books
179,Diversion Books
180,DK
181,Dope Enterprises
182,Dramatists Play Service
183,Dutton
184,Dutton Children's Books
185,EDpub International, LLC
186,Education Turnkey Systems, Inc.
187,Educational Systemics
188,edWeb.net
189,Egremont Associates
190,eKensington
191,Elsevier
192,EMC Publishing
193,Emerald Group Publishing
194,Entrepreneur Press
195,Ernst & Young, LLP
196,Ernst Klett Sprachen GmbH
197,Evan-Moor Educational Publishers
198,Excelsoft Technologies, Inc.
199,Experiment, The
200,Explorations Strategies for Comprehension for Informational Texts (ESC)
201,ExploreLearning, Inc.
202,Extensis, Inc.
203,F.A. Davis Company
204,Faithwords
205,Farrar, Strauss & Giroux
206,Faulkner Press, LLC
207,Federation of American Societies for Experimental Biology (FASEB)
208,Feminist Press, Inc.
209,Fieldstone Alliance
210,Firebird
211,First Step Advisors
212,FirstForumPress
213,Firstsource
214,Flying Start to Literacy
215,Focus Strategic Communications Inc.
216,Folger Shakespeare Library
217,Follett School Solutions
218,Fordham University Press
219,Forever
220,Forever Yours
221,Frederick Warne
222,Free Press
223,FT Publishing
224,FundRef
225,G. P. Putnam's Sons
226,G. P. Putnam's Sons Books for Young Readers
227,Galaxy Press
228,Gallaudet University Press
229,Gallery Books
230,General Conference of 7th-Day Adventists
231,Georgetown University Press
232,Georgia McBride Media Group
233,GeoScienceWorld
234,Getty Conservation Institute
235,Getty Publications
236,Getty Research Institute
237,GH, LLC
238,Gival Press, LLC
239,Glatfelter Company
240,Glencoe/McGraw-HIll
241,Global Publisher Services
242,Goodheart-Wilcox Company, Inc.
243,GoodKnight Books
244,Gotham Books
245,Grand Central Publishing
246,Granta
247,Greenhouse Associates
248,Greensheet
249,Greenwood Publishing Company
250,Greysheet
251,Greystone Books Ltd
252,Grosset & Dunlap Books
253,Group Publishing
254,Grove Press
255,Grove/Atlantic, Inc.
256,Gryphon House, Inc.
257,Gunter Media Group
258,GVPi
259,Hachette Audio
260,Hachette Book Group
261,Hachette Books (formerly Hyperion Books)
262,Hachette Digital
263,Hampton-Brown Publishing Company
264,Harlequin Books
265,Harper
266,Harper Design
267,HarperCollins Publishers Worldwide
268,HarperPerennial
269,Harrington Park Press
270,Harvard Business Review Group
271,Harvard University Press
272,Hayden-McNeil
273,Health & Pharma
274,Heinemann-Raintree
275,Henry Holt & Company
276,HighBridge Audio
277,HighWire Press
278,HMH Supplemental Publishing, Inc.
279,Hogrefe Publishing
280,Holiday House Inc.
281,Holloway House
282,Houghton Mifflin Harcourt
283,Howard Books
284,HP Books
285,Hudson Street Press
286,Human Factors and Ergonomics Society (HFES)
287,Human Kinetics
288,Humanix
289,Hyperion Audio
290,Hyperion E-Books
291,Independent Institute, The
292,INFORMS
293,Ingram Content Group
294,Institute of Electrical & Electronics Engineers, Inc.
295,IntelliTools
296,Interactive Educational Systems Design, Inc. (IESD)
297,InterMix Digital
298,International Monetary Fund
299,International Publications Media Group LLC
300,Iroquois Press
301,Ithaka
302,J. Paul Getty Museum
303,JAABC Publication
304,Jack Farrell & Associates
305,JES & Co.
306,Jewish Lights Publishing
307,JMTR Publications, Inc.
308,John Hunt Publishing
309,John Wiley & Sons, Inc.
310,Johns Hopkins University Press
311,Jossey-Bass
312,Journal of Visualized Experiments (JoVE)
313,Jove
314,JSTOR
315,Judson Press
316,Jump Start Press
317,JWP
318,K12 Inc.
319,Kane Press
320,Kappa Delta Pi
321,KEH Communications
322,Kensington Books
323,Kensington Publishing Corp.
324,Kent State University Press
325,Keystone College Press
326,knk Publishing
327,Knopf Doubleday Publishing Group
328,Kumarian Press
329,Kurzweil Educational Systems
330,LAD Custom Publishing, Inc.
331,Lark
332,LB Kids
333,Learnetic S.A.
334,Learning A-Z, LLC
335,Learning List
336,Liberty Fund, Inc
337,Libros Publishing
338,Lincoln Institute of Land Policy
339,Lindenmeyr Book Publishing
340,Linworth Publishing
341,Lion Forge
342,Lippincott Williams & Wilkins
343,Little Simon
344,Little, Brown and Company
345,Liveright & Company
346,LizardTech
347,LSC Communications
348,Lyle Stuart
349,Lynne Rienner Publishers, Inc
350,Macmillan
351,Macmillan Audio
352,Macmillan Childrens
353,Magination Press
354,Marcella Smith Associates
355,Margaret K. McElderry Books
356,Marine Corps University Press (MCUP)
357,Marketing Projects, Inc./Big Deal Media
358,Marvel Press
359,Massachusetts Medical Society
360,Materials Research Forum
361,Math Solutions
362,Maupin House Publishing, Inc.
363,McBooks Press, Inc.
364,McGraw-Hill Children's Publishing
365,McGraw-Hill Education
366,MCH Strategic Data
367,MDR
368,Media Sleuth
369,Melville House
370,MetaMetrics
371,Michigan State University Press
372,Milkweed Editions
373,Miramax
374,MIT Press
375,Modern Language Association of America
376,Mondo Publishing
377,Month9Books
378,Moody Publishers
379,Morton Publishing Company
380,Mountcastle Company
381,Mulholland Books
382,Museum of Modern Art , The (MOMA)
383,Mysterious Press
384,NAL
385,National Academies Press
386,National Council for the Social Studies
387,National Geographic Partners
388,National Geographic School Publishing
389,National Information Standards Organization (NISO)
390,National Science Teachers Association
391,National Wildlife Federation
392,Natl Info Ctr for Educational Media
393,Naval Institute Press
394,New Directions
395,New England Journal of Medicine
396,New Horizon Press
397,New Letters Magazine
398,New Press,The
399,New Riders
400,New World Library
401,New York Review Books
402,Newmarket Press
403,NFB Publishing
404,No Starch Press
405,NY Media Works, LLC
406,NYRB Classics
407,NYRB Collections
408,NYU Press
409,Oak Knoll Books
410,Okapi Educational Publishing, Inc.
411,Oncology Nursing Society
412,Open City
413,Optical Society of America
414,OR Books
415,Orbit
416,Other Press, LLC
417,Owl King Publishing, LLC
418,Oxford University Press
419,Pamela Dorman Books
420,Parkstone International
